lat,long,height
38.31729702009844,-76.55617670782419,0
38.31594832826572,-76.55657341657302,0
38.31546739500083,-76.55376201277696,0
38.31470980862425,-76.54936361414539,0
38.31424154692598,-76.54662761646904,0
38.31369801280048,-76.54342380058223,0
38.31331079191371,-76.54109648475954,0
38.31529941346197,-76.54052104837133,0
38.31587643291039,-76.54361305817427,0
38.31861642463319,-76.54538594175376,0
38.31862683616554,-76.55206138505936,0
38.31703471119464,-76.55244787859773,0
38.31674255749409,-76.55294546866578,0
38.31729702009844,-76.55617670782419,0